shipments,trackstart,trackend,day,volume
Company_B_1_11,7,1,4,0
Company_B_1_11,7,1,8,0
Company_B_1_11,7,2,5,0
Company_B_1_11,7,3,5,0
Company_B_1_11,7,3,7,0
Company_B_1_11,7,3,14,0
Company_B_1_11,7,4,6,0
Company_B_1_11,7,4,8,0
Company_B_1_11,7,4,12,0
Company_B_1_11,7,5,7,0
Company_B_1_11,7,5,14,0
Company_B_1_11,7,6,7,0
Company_B_1_11,7,6,9,0
Company_B_1_11,7,6,15,0
Company_B_1_11,7,7,13,0
Company_B_1_11,7,8,9,0
Company_B_1_11,7,9,10,0
Company_B_1_11,7,10,11,0
Company_B_1_11,7,12,15,0
Company_B_1_11,7,13,14,0
Company_B_1_11,7,14,15,0
Company_B_1_11,8,1,3,0
Company_B_1_11,8,1,4,10
Company_B_1_11,8,1,8,10
Company_B_1_11,8,2,5,0
Company_B_1_11,8,3,5,0
Company_B_1_11,8,3,7,0
Company_B_1_11,8,3,14,0
Company_B_1_11,8,4,6,0
Company_B_1_11,8,4,8,0
Company_B_1_11,8,4,12,0
Company_B_1_11,8,5,7,0
Company_B_1_11,8,5,14,0
Company_B_1_11,8,6,7,0
Company_B_1_11,8,6,9,0
Company_B_1_11,8,6,15,0
Company_B_1_11,8,7,13,0
Company_B_1_11,8,8,9,0
Company_B_1_11,8,9,10,0
Company_B_1_11,8,10,11,0
Company_B_1_11,8,12,15,0
Company_B_1_11,8,13,14,0
Company_B_1_11,8,14,15,0
Company_B_1_11,9,1,3,0
Company_B_1_11,9,1,4,6
Company_B_1_11,9,1,8,9
Company_B_1_11,9,2,5,0
Company_B_1_11,9,3,5,0
Company_B_1_11,9,3,7,0
Company_B_1_11,9,3,14,0
Company_B_1_11,9,4,6,9
Company_B_1_11,9,4,8,1
Company_B_1_11,9,4,12,0
Company_B_1_11,9,5,7,0
Company_B_1_11,9,5,14,0
Company_B_1_11,9,6,7,0
Company_B_1_11,9,6,9,0
Company_B_1_11,9,6,15,0
Company_B_1_11,9,7,13,0
Company_B_1_11,9,8,9,10
Company_B_1_11,9,9,10,0
Company_B_1_11,9,10,11,0
Company_B_1_11,9,12,15,0
Company_B_1_11,9,13,14,0
Company_B_1_11,9,14,15,0
Company_B_1_11,10,1,3,0
Company_B_1_11,10,1,4,0
Company_B_1_11,10,1,8,1
